address	averagePriceTip	deliveryTimeTip	deliveryType	discounts2	distance	minPriceTip	monthSalesTip	mtWmPoiId	origin_shipping_fee_tip	picUrl	poiTypeIcon	poi_name	recommendInfo	shippingFeeTip	shipping_time	shopName	status	statusDesc	wmPoiScore
"云南省保山市保岫东路136号德克士餐厅"	人均 ¥39	30分钟	0	"[ { ""info"" : ""满35减10;满45减15;满65减25"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 }, { ""info"" : ""折扣商品4.95折起"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/3da2d9c7a4ddf89e4e71cfdfff168c391088.png"", ""promotionType"" : 2, ""activityId"" : 17 }, { ""info"" : ""实际支付45元返5元商家代金券"", ""iconUrl"" : ""http://p0.meituan.net/xianfu/652eea4034250563fe11b02e3219ba8d981.png"", ""promotionType"" : 2, ""activityId"" : 100 }, { ""info"" : ""本店支持开发票，开票金额0元起"", ""iconUrl"" : ""http://p0.meituan.net/xianfu/476ba65ee80b6385bab292c085baed17940.png"", ""promotionType"" : 2, ""activityId"" : -2 } ]"	1.2km	起送 ¥0	月售2000	905083956387602		http://p0.meituan.net/waimaipoi/bb73f45f4f3d000f4bf07f4d53d7102915497.jpg		新乐小区29号楼	"{ ""icon"" : """", ""recommendReason"" : ""大众点评高分店铺"", ""type"" : 3 }"	配送 ¥7	00:00-01:00,08:30-23:59	德克士(保山店)	1		46
"云南省保山市隆阳区九龙路166号九龙新天地1-2层"	人均 ¥44	40分钟	0	"[ { ""info"" : ""满40减6"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 }, { ""info"" : ""折扣商品5折起"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/3da2d9c7a4ddf89e4e71cfdfff168c391088.png"", ""promotionType"" : 2, ""activityId"" : 17 }, { ""info"" : ""本店支持开发票，开票金额0元起"", ""iconUrl"" : ""http://p0.meituan.net/xianfu/476ba65ee80b6385bab292c085baed17940.png"", ""promotionType"" : 2, ""activityId"" : -2 } ]"	1.3km	起送 ¥0	月售1000	1047754180002174		http://p1.meituan.net/xianfu/33c48a92a31a21e4bf32d3aa7c1c5c0d16649.jpg		新乐小区29号楼		配送 ¥9	00:00-04:00,05:45-23:59	肯德基宅急送（九龙店）	1		45
"云南省保山市隆阳区永昌街道正阳北路与学府路交叉路口（五洲国际广场2栋2-201至2-237号）"	人均 ¥30	32分钟	1	"[ { ""info"" : ""满30减10;满50减15"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 }, { ""info"" : ""折扣商品6.67折起"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/3da2d9c7a4ddf89e4e71cfdfff168c391088.png"", ""promotionType"" : 2, ""activityId"" : 17 }, { ""info"" : ""本店支持开发票，开票金额0元起"", ""iconUrl"" : ""http://p0.meituan.net/xianfu/476ba65ee80b6385bab292c085baed17940.png"", ""promotionType"" : 2, ""activityId"" : -2 } ]"	2.6km	起送 ¥10	月售3000	941969135551918		http://p1.meituan.net/business/dcd72727c2b20b2cbcf785c29a91564342000.jpg		新乐小区29号楼		配送 ¥4	10:00-23:59	外婆味道（保山店）	1		44
"保山市隆阳区正阳北路（兰馨酒店）"	人均 ¥24	30分钟	1		408m	起送 ¥0	月售4000	1117487269030550		http://p0.meituan.net/waimaipoi/1fc680e06ff45ebf8bb3e44bffee0f5c173866.jpg		新乐小区29号楼		配送 ¥4	09:30-20:30	缅昌茶苑(正阳北路店）	1		47
"保山市隆阳区兰城路24号"	人均 ¥33	30分钟	1	"[ { ""info"" : ""折扣商品5折起"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/3da2d9c7a4ddf89e4e71cfdfff168c391088.png"", ""promotionType"" : 2, ""activityId"" : 17 }, { ""info"" : ""实际支付20元返5元商家代金券"", ""iconUrl"" : ""http://p0.meituan.net/xianfu/652eea4034250563fe11b02e3219ba8d981.png"", ""promotionType"" : 2, ""activityId"" : 100 }, { ""info"" : ""满30元赠送矿泉水"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/dfb8be4fc2eb746ecbc4c1485dba635a1127.png"", ""promotionType"" : 2, ""activityId"" : 5 }, { ""info"" : ""本店支持开发票，开票金额0元起"", ""iconUrl"" : ""http://p0.meituan.net/xianfu/476ba65ee80b6385bab292c085baed17940.png"", ""promotionType"" : 2, ""activityId"" : -2 } ]"	1.2km	起送 ¥15	月售1000	844499147720622		http://p0.meituan.net/waimaipoi/b089d9e428f172ead85e4d93e07335a829577.jpg		新乐小区29号楼		配送 ¥4	07:00-23:59	大理鱼庄	1		43
"保山市隆阳区永昌街道办事处兰城路东侧（保山德康口腔医院旁）"		30分钟	1	"[ { ""info"" : ""满25减16;满50减30"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 }, { ""info"" : ""新客领3元券"", ""iconUrl"" : ""http://p1.meituan.net/activityconfig/3fc360f1c726e7148380f4c77fa303fd1475.png"", ""promotionType"" : 2, ""activityId"" : 103 }, { ""info"" : ""实际支付50元返2元商家代金券"", ""iconUrl"" : ""http://p0.meituan.net/xianfu/652eea4034250563fe11b02e3219ba8d981.png"", ""promotionType"" : 2, ""activityId"" : 100 }, { ""info"" : ""满100元赠送铁板鸭肠1份"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/dfb8be4fc2eb746ecbc4c1485dba635a1127.png"", ""promotionType"" : 2, ""activityId"" : 5 } ]"	349m	起送 ¥20	月售21	881375736953549		http://p0.meituan.net/waimaipoi/5be0ecd36d6116f87da50b3416e6e20e396597.jpg		新乐小区29号楼		配送 ¥4	00:00-02:00,13:00-23:59	梦醒时分烤吧	1		43
"九隆街道同仁街7号"	人均 ¥28	30分钟	1	"[ { ""info"" : ""折扣商品7折起"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/3da2d9c7a4ddf89e4e71cfdfff168c391088.png"", ""promotionType"" : 2, ""activityId"" : 17 } ]"	1.5km	起送 ¥10	月售600	952947071931828		http://p0.meituan.net/business/2c36bc0af0b973fa959c9888cd11d09d84802.jpg		新乐小区29号楼		配送 ¥4	10:00-22:30	cup cup炸鸡	1		43
"云南省保山市隆阳区九隆街道太保南路易乐上苑A区18栋C-4商铺"	人均 ¥31	60分钟	0	"[ { ""info"" : ""满25减14;满50减20"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 }, { ""info"" : ""折扣商品0.05折起"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/3da2d9c7a4ddf89e4e71cfdfff168c391088.png"", ""promotionType"" : 2, ""activityId"" : 17 }, { ""info"" : ""领4元券"", ""iconUrl"" : ""http://p1.meituan.net/activityconfig/3fc360f1c726e7148380f4c77fa303fd1475.png"", ""promotionType"" : 2, ""activityId"" : 103 }, { ""info"" : ""实际支付60元返4元商家代金券"", ""iconUrl"" : ""http://p0.meituan.net/xianfu/652eea4034250563fe11b02e3219ba8d981.png"", ""promotionType"" : 2, ""activityId"" : 100 } ]"	2.0km	起送 ¥0	月售900	1119192371097268		http://p1.meituan.net/waimaipoi/2afaa56c1274695bdcdfaa42ddfd94d3574744.png		新乐小区29号楼		配送 ¥4	10:00-21:30	披萨盒子	1		47
"云南省保山市隆阳区九隆街道象山路建设小区109号"	人均 ¥17	30分钟	1	"[ { ""info"" : ""满25减15;满39减20;满55减25;满69减30"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 }, { ""info"" : ""折扣商品0.33折起"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/3da2d9c7a4ddf89e4e71cfdfff168c391088.png"", ""promotionType"" : 2, ""activityId"" : 17 }, { ""info"" : ""新客领1元券;领2元券;领5元券"", ""iconUrl"" : ""http://p1.meituan.net/activityconfig/3fc360f1c726e7148380f4c77fa303fd1475.png"", ""promotionType"" : 2, ""activityId"" : 103 }, { ""info"" : ""本店支持开发票，开票金额0元起"", ""iconUrl"" : ""http://p0.meituan.net/xianfu/476ba65ee80b6385bab292c085baed17940.png"", ""promotionType"" : 2, ""activityId"" : -2 } ]"	51m	起送 ¥0	月售6000	1098692492180546		http://p0.meituan.net/waimaipoi/d955b70b517fe4f5aaabf596076c7cd082247.jpg		新乐小区29号楼		配送 ¥4	07:00-23:59	粥员外（保山店）	1		47
"九隆街道锦溪路45号（商铺太保南路六十一号）"		30分钟	1	"[ { ""info"" : ""满20减2"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	2.9km	起送 ¥0	月售33	854467766821568		http://p0.meituan.net/business/401df7edc85621cfe1623b623220f692139013.jpg		新乐小区29号楼		配送 ¥4	07:00-21:00	仙叶弥勒卤鸡酥肉米线	1		48
