address	averagePriceTip	deliveryTimeTip	deliveryType	discounts2	distance	minPriceTip	monthSalesTip	mtWmPoiId	origin_shipping_fee_tip	picUrl	poiTypeIcon	poi_name	shippingFeeTip	shipping_time	shopName	status	statusDesc	wmPoiScore
"兴宁街与清真街交叉口东南150米（清真街中段）"	人均 ¥24	30分钟	1		551m	起送 ¥0	月售2000	928779290962996		http://p1.meituan.net/waimaipoi/1812b0f44a028e43bf5ab23f45f3976f23166.jpg		昌宁人民医院	配送 ¥3	10:00-19:30	阿九手抓饭	1		46
"保山市昌宁县田园镇文昌社区居民委员会兴宁街北段西侧、环城北路北侧"	人均 ¥28	30分钟	1	"[ { ""info"" : ""折扣商品7折起"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/3da2d9c7a4ddf89e4e71cfdfff168c391088.png"", ""promotionType"" : 2, ""activityId"" : 17 } ]"	2.2km	起送 ¥0	月售1000	889944196698037		http://p0.meituan.net/waimaipoi/0ab4b58773cfaa38537802787672702411812.jpg		昌宁人民医院	配送 ¥3	09:30-22:30	必来客	1		47
"田园镇文昌社区居民委员会隆祥花园1栋三单元201（文昌街）"	人均 ¥17	30分钟	1	"[ { ""info"" : ""满20减4;满40减8"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	1.3km	起送 ¥0	月售1000	948141003523741		http://p1.meituan.net/waimaipoi/8d8d467b72529e0a3d1058a96ccd59dd133118.jpg		昌宁人民医院	配送 ¥3	10:00-20:00	凉拌伴小屋	1		44
"田园镇丽兰酒店下50米"		30分钟	1	"[ { ""info"" : ""满20减3;满30减4;满50减8"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	1.6km	起送 ¥0	月售800	860639634846697		http://p0.meituan.net/wmproduct/925e4ec9fccbb4ab97b609b2c832f17a625004.jpg		昌宁人民医院	配送 ¥3	09:00-21:00	昌宁风味饭店	1		41
066乡道东200米	人均 ¥17	30分钟	1	"[ { ""info"" : ""满20减6;满40减12"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	1.9km	起送 ¥0	月售2000	1053629695269899		http://p1.meituan.net/waimaipoi/b76717fef0b60e1816533bf2eff42cf728492.jpg		昌宁人民医院	配送 ¥3	10:00-20:30	河东食府	1		48
"兴宁街116号"	人均 ¥46	30分钟	1		1.3km	起送 ¥0	月售300	888363648731972		http://p1.meituan.net/waimaipoi/7fad3d30ab5db4af447a72b8038b406319773.jpg		昌宁人民医院	配送 ¥3	10:00-21:00	老字号胖子麻辣（昌宁店）	1		41
"田园镇文昌社区居民委员会右甸北路（城北加油站斜对面）"	人均 ¥17	30分钟	1	"[ { ""info"" : ""满20减6;满40减8"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	1.5km	起送 ¥15	月售600	857087696855771		http://p0.meituan.net/waimaipoi/071e4a15ef6dae12d464655eea28720845056.jpg		昌宁人民医院	配送 ¥3	07:30-22:20	清真正宗兰州拉面	1		42
"达丙街66号"	人均 ¥25	30分钟	1	"[ { ""info"" : ""满20减10;满50减25;满70减35"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 }, { ""info"" : ""折扣商品8.67折起"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/3da2d9c7a4ddf89e4e71cfdfff168c391088.png"", ""promotionType"" : 2, ""activityId"" : 17 } ]"	2.0km	起送 ¥0	月售500	846384638348108		http://p0.meituan.net/business/ec6f691ca5607ab9205c218acbe21a0e23214.jpg		昌宁人民医院	配送 ¥3	00:00-04:00,09:30-23:59	魔力玛卡水晶冒菜（干锅鸡干锅虾）	1		37
"田园镇兴宁街中段"	人均 ¥13	30分钟	1		1.3km	起送 ¥0	月售2000	853162096784372		http://p1.meituan.net/waimaipoi/9e1f0545d1a67cd199a03dfc9e0aecb3120417.jpg		昌宁人民医院	配送 ¥3	09:40-22:30	吾饮良品（文昌街店）	1		49
"田园镇文昌社区居民委员会福慧路（隆祥花园18-15）"		30分钟	1	"[ { ""info"" : ""满20减10;满40减20"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	1.7km	起送 ¥0	月售68	1063095803223367		http://p1.meituan.net/waimaipoi/eef2e0b595dcce461a52ef8a4389465e32347.jpg		昌宁人民医院	配送 ¥3	07:00-20:00	金星青真牛肉饭店	1		0
"隆祥花园5-015-02"	人均 ¥58	30分钟	1		1.4km	起送 ¥0	月售200	951808905608353		http://p0.meituan.net/waimaipoi/309f6c5cb7fdf74ac51b8434fbac489a26000.jpg		昌宁人民医院	配送 ¥3	00:00-01:30,09:00-23:59	蟹逅	1		50
"田园镇滨河路以西、文昌路以南（湿地公园红绿灯路口）"	人均 ¥15	30分钟	1	"[ { ""info"" : ""满20减10;满40减20"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	2.1km	起送 ¥0	月售700	894737380164460		http://p1.meituan.net/wmproduct/ffa24a11c71e6695adb4b81fac1e0bb7682112.jpg		昌宁人民医院	配送 ¥3	09:20-20:30	老双嫂二中鸡脚温凉米线（湿地公园店）	1		44
"田园镇环城北路南侧（228省道思源学校对面）"		30分钟	1	"[ { ""info"" : ""满30减4;满60减8"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/6087b33fd42d14fd94e899084aaef56d1720.png"", ""promotionType"" : 2, ""activityId"" : 2 } ]"	2.4km	起送 ¥0	月售300	1111676178332411		http://p0.meituan.net/waimaipoi/e2cedc729f509508ca504566e8f8746c24188.jpg		昌宁人民医院	配送 ¥3	00:00-02:00,10:00-23:59	入里今碗饭店	1		50
"保山市昌宁县田园镇文昌社区居民委员会云舒居商铺33号"		30分钟	1	"[ { ""info"" : ""折扣商品8折起"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/3da2d9c7a4ddf89e4e71cfdfff168c391088.png"", ""promotionType"" : 2, ""activityId"" : 17 } ]"	2.2km	起送 ¥0	月售200	944035014791479		http://p0.meituan.net/waimaipoi/61bf971bd9090dad8f4e6e00d79ed90124800.jpg		昌宁人民医院	配送 ¥3	11:00-21:30	桃子小姐（昌宁店）	1		46
"富德广场"	人均 ¥31	30分钟	1	"[ { ""info"" : ""折扣商品9.2折起"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/3da2d9c7a4ddf89e4e71cfdfff168c391088.png"", ""promotionType"" : 2, ""activityId"" : 17 } ]"	2.2km	起送 ¥0	月售300	944498871273533		http://p1.meituan.net/waimaipoi/50a30edad19b9ada0a8f034fdb1a7e1823830.jpg		昌宁人民医院	配送 ¥3	00:00-02:00,10:00-23:59	兵锅锅胖子极品冒菜	1		48
"滨河盛景7-9号"	人均 ¥33	30分钟	1	"[ { ""info"" : ""折扣商品9折起"", ""iconUrl"" : ""http://p0.meituan.net/activityconfig/3da2d9c7a4ddf89e4e71cfdfff168c391088.png"", ""promotionType"" : 2, ""activityId"" : 17 } ]"	1.2km	起送 ¥0	月售100	1001342763416578		http://p0.meituan.net/waimaipoi/60a42c963680b669b8921fda6e0f1e8f44908.jpg		昌宁人民医院	配送 ¥3	09:30-20:40	三顾冒菜	1		43
