商铺名称,营业时间,地址,月销售量,人均,活动信息
德克士(保山店),08:30-23:59,云南省保山市保岫东路136号德克士餐厅,2000,['39'],"['满35减10;满45减15;满65减25', '折扣商品4.95折起', '实际支付45元返5元商家代金券', '本店支持开发票，开票金额0元起']"
肯德基宅急送（九龙店）,05:45-23:59,云南省保山市隆阳区九龙路166号九龙新天地1-2层,1000,['44'],"['满40减6', '折扣商品5折起', '本店支持开发票，开票金额0元起']"
外婆味道（保山店）,10:00-23:59,云南省保山市隆阳区永昌街道正阳北路与学府路交叉路口（五洲国际广场2栋2-201至2-237号）,3000,['30'],"['满30减10;满50减15', '折扣商品6.67折起', '本店支持开发票，开票金额0元起']"
缅昌茶苑(正阳北路店）,09:30-20:30,保山市隆阳区正阳北路（兰馨酒店）,4000,['24'],[]
大理鱼庄,07:00-23:59,保山市隆阳区兰城路24号,1000,['33'],"['折扣商品5折起', '实际支付20元返5元商家代金券', '满30元赠送矿泉水', '本店支持开发票，开票金额0元起']"
梦醒时分烤吧,13:00-23:59,保山市隆阳区永昌街道办事处兰城路东侧（保山德康口腔医院旁）,21,[],"['满25减16;满50减30', '新客领3元券', '实际支付50元返2元商家代金券', '满100元赠送铁板鸭肠1份']"
cup cup炸鸡,10:00-22:30,九隆街道同仁街7号,600,['28'],['折扣商品7折起']
披萨盒子,10:00-21:30,云南省保山市隆阳区九隆街道太保南路易乐上苑A区18栋C-4商铺,900,['31'],"['满25减14;满50减20', '折扣商品0.05折起', '领4元券', '实际支付60元返4元商家代金券']"
粥员外（保山店）,07:00-23:59,云南省保山市隆阳区九隆街道象山路建设小区109号,6000,['17'],"['满25减15;满39减20;满55减25;满69减30', '折扣商品0.33折起', '新客领1元券;领2元券;领5元券', '本店支持开发票，开票金额0元起']"
仙叶弥勒卤鸡酥肉米线,07:00-21:00,九隆街道锦溪路45号（商铺太保南路六十一号）,33,[],['满20减2']
德克士（保山五洲店）,08:20-23:30,云南省保山市隆阳区永昌街道五洲国际广场六号楼一、二层,1000,['38'],"['满35减10;满45减15;满65减25', '折扣商品4.95折起', '本店支持开发票，开票金额0元起']"
三桃园巫山烤鱼（兰城路店）,11:00-23:59,兰城路155号（三馆小吃街）,200,[],"['满40减6;满60减10;满100减16', '折扣商品3.59折起']"
厉害了炒饭（云南保山店）,10:00-23:59,云南省保山市隆阳区九隆街道象山路69号,6000,['19'],"['满20减8;满35减14;满45减20', '折扣商品0.33折起', '本店支持开发票，开票金额0元起']"
左麻右辣‘’麻辣烫‘’,10:30-21:00,云南省保山市隆阳区永昌街道五洲国际广场3栋二楼,1000,['25'],['满20减2;满50减8']
虾胡闹小龙虾,11:00-23:59,九龙街道正阳南路196号,500,[],"['满20减10;满40减20', '折扣商品9.6折起']"
绝味,07:00-23:59,永昌街道御景金街海棠路A8-2号(北五环路御景东方铺面),700,['31'],['满25减2']
正新鸡排（电视塔店）,11:30-23:59,云南省保山市隆阳区永昌街道办事处建设路电视台临街铺面,400,[],['满32减5;满65减10']
堕落小龙虾(五里路店),10:30-23:59,云南省保山市隆阳区永昌街道海棠搬迁用地五里亭路111号,200,['43'],"['满60减12;满90减18;满120减26;满150减30', '折扣商品0.02折起', '领6元券;领10元券;领28元券', '实际支付1元返6元商家代金券', '本店支持开发票，开票金额0元起']"
老字号品味香辣虾,10:00-23:00,兰城路三馆小吃街（农垦宾馆往南50米金汇网络会所斜对面）,300,[],[]
澳洲嫩煎牛排饭●烤肉饭（保山店）,07:00-23:59,九隆街道仓巷39号B区5号铺面,600,['21'],"['满25减15;满40减20', '折扣商品0.1折起', '领1元券;领2元券;领3元券', '本店支持开发票，开票金额0元起']"
德克士(保山2店),09:00-23:00,云南省保山市保岫西路马力商业中心一楼德克士餐厅,500,['40'],"['满35减10;满45减15;满65减25', '折扣商品4.95折起', '本店支持开发票，开票金额0元起']"
