微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IzsOy9jz6,[置顶]💯100 WAYS💯💥OUT NOW 💥.LINK IN BIO.PERFECT LOVE CONQUERS ALL FEARS ❤️.TAG #100WAYS# #TEAMWANG# #亚洲新歌榜#  王嘉尔的微博视频  ,无,"http://f.video.weibocdn.com/Hac6g6zulx07BQlX18JW010412012vi10E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586173277&ssig=IjrXC5CjIb&KID=unistore,video",无,2020-03-20 12:02,vivo X27 4800万三摄,220917,320895,69415
IBBb9p2O0,因为疫情我目前 暂时 无法参与拜冰第六季的录制现在也难以形容我的心情很遗憾 也很难受感谢何哥哥和节目组还有冰箱家族为这件事考虑了很多真的很想冰箱家族的每一个人我会争取早点回家的 不用担心我我一直都在准备会准备更多的东西给大家相信我比起任何事 更重要的是大家一定要注意身体希望一切快点变好很想你们 #拜托了冰箱##何尔萌##冰箱家族#                                 ,无,无,无,2020-04-03 13:00,vivo X27 4800万三摄,173857,19964,32415
IAS4ubTI6,🥺🎂🙏❤️😘#26 #王嘉尔  原图 ,http://wx4.sinaimg.cn/large/006qwgkSly1gdaymdt6dhj30u01hctcp.jpg,无,无,2020-03-29 18:10,vivo X27 4800万三摄,247936,136844,43268
IAJOUiX7y,#微博宅Live#  26岁的我 TEAM WANG 最终的直播间 🎂💯❤️❤️❤️❤️❤️🤫🤫🤫@王嘉尔 的一直播（下载App->http://t.cn/EhGWXEC） 韩国·首尔  显示地图 ,无,无,韩国·首尔,2020-03-28 21:10,一直播Yi,79195,2763,30239
IABHDegBT,今天是我的生日，来祝福我吧！  ,无,无,无,2020-03-28 00:30,生日动态,244480,16517,46407
IABy4vDTZ,26岁了🎂谢谢爸妈给我这生命谢谢TEAM WANG crew 陪我在studio度过的生日谢谢所有支持我的你们陪我走这段路感恩 感谢你们😘一定要照顾好自己好，生日结束了，继续🎤❤️🎧#TEAMWANG ##感恩还有很爱你们##26岁了# 王嘉尔的微博视频  ,无,"http://f.video.weibocdn.com/bvAdc9bhlx07C2jVZwnu010412004YRi0E010.mp4?label=mp4_hd&template=844x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586173280&ssig=jDZelwgrIi&KID=unistore,video",无,2020-03-28 00:06,vivo X27 4800万三摄,308595,173430,62636
IAoRaqwSh,想起从Papillon 到100ways我和你们一起经历了不少成长也不少每一秒都忘不了也是因为一开始什么都没有只能慢慢通过我们一次再一次的尝试 努力拼回来的 让我们学会了 更珍惜每一步都很难但只要我们一起 一步一步 稳稳地我相信我们的努力是不会说谎的我相信我们可以一起刷新历史相信我照顾好自己很感恩很珍惜 很爱 很想你们#我的你们##TEAMWANG##感恩#                                 ,无,无,无,2020-03-26 15:48,vivo X27 4800万三摄,179246,90701,34832
IzWgHtsoD,💯100 WAYS💯做你们的将军就够了⚔️感恩你们听歌感恩分享给越多的人🥺这是我每次趴在地上重新站起来最大的动力#下一站出发##100WAYS# #TEAMWANG# 绿洲  原图 ,http://wx3.sinaimg.cn/large/006qwgkSgy3gd3vfnaictj30nm0daq3a.jpg,无,无,2020-03-23 15:01,绿洲APP,145834,102061,33310
IzBhHySZb,"💯100 WAYS💯💥来了💥.PERFECT LOVE CONQUERS ALL FEARS ❤️.谢谢你们一直相信我在我身边和我一起成长一直以来都想成为一个更好的artist希望我的音乐作品可以在这段日子里带给你们欢乐勤洗手一定要照顾好自己,一定要健康我们一起度过这个难关很爱你们，很感恩有你们很久没有见到...全文 ",无,无,无,2020-03-21 09:36,vivo X27 4800万三摄,125297,81178,30398
IzjnaC6TW,‪100 WAYS‬‪.- TMR -March 2012:00 am EST12:00 pm Beijing‪.‬‪#100WAYS##TEAMWANG#  原图 ,http://wx4.sinaimg.cn/large/006qwgkSly1gcz3o3zv08j30u00u0gqn.jpg,无,无,2020-03-19 12:00,vivo X27 4800万三摄,103600,48786,30111
