微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IznjImKLG,[置顶]已收到上千封合作邮件，我们目前人手还不充裕，筛选的压力很大。所以恳请有意合作的企业下载所附链接的表格，输入密码 zjrm，按格式填写发给我们，方便高效处理。信中不需要“罗老师，我是您多年的xx”这类客套话，商务邮件都是我们处理，不是他^_^ 我们效率第一。 http://t.cn/A6z8Hd6e  原图 ,http://wx3.sinaimg.cn/large/61c921e5ly1gczl4s8i9vj20ri1dtthy.jpg,无,无,2020-03-19 22:02,坚果手机 R1,16683,4012,2319
IBzGD3aXO,电商首播推荐了小米手机和米家产品后，毫无意外地，傻x们又兴奋起来了，纷纷表示“你现在为了赚钱连小米的产品都推荐？你当初是怎么说小米的？！” 多少有点意外的是，很多锤友和老朋友也以相对温和的方式表示了同样的意思。好像我为了赚钱，做了什么扭曲人格的事。因为这两年记忆力有些变差了，于是我就让同事帮我彻底搜集整理了一下我“当初是怎么说小米的”给我看看。结果发现跟我的记忆基本一样：我多年的公开言论里，虽然也多次批评讽刺过小米做得不好的事（其中有两次批评错了，后来做了公开道歉），但整体上，对小米一直都是高度肯定的态度。以下的附图是13～20年间的部分相关言论（微博只能贴18张）。嗯，x你xx的，这个世界没有太多真相，大部分都是传闻和所谓的认知。我和这个世界的“不兼容”，本质上，是在多数正常人由于种种原因放弃表达真实想法后，一个仍想表达真实想法的正常人和妖怪之间的冲突；而我跟这个世界貌似已在发生的“和解”，不是“成熟”，不是“转变”，只是我为了责任和义务，大幅度减少了表达真实想法而已。             [组图共18张]      原图                             ,"http://ww4.sinaimg.cn/large/61c921e5ly1gdgb64ceacj20xg0mwtef.jpg,http://ww4.sinaimg.cn/large/61c921e5ly1gdgb64cgbij20xc0fmgpn.jpg,http://ww3.sinaimg.cn/large/61c921e5ly1gdgb64cggoj20xg0bmtbp.jpg,http://ww4.sinaimg.cn/large/61c921e5ly1gdgb64ct24j20xa0pggyd.jpg,http://ww2.sinaimg.cn/large/61c921e5ly1gdgb64d4waj20xa09441b.jpg,http://ww1.sinaimg.cn/large/61c921e5ly1gdgb64gasyj20xm0d440w.jpg,http://ww4.sinaimg.cn/large/61c921e5ly1gdgb64eoi6j20xc0ao0vo.jpg,http://ww4.sinaimg.cn/large/61c921e5ly1gdgb64fhguj20xq0h6jvi.jpg,http://ww4.sinaimg.cn/large/61c921e5ly1gdgb64fjzej20xu0d6770.jpg,http://ww2.sinaimg.cn/large/61c921e5ly1gdgb64fqi9j20xo0eojux.jpg,http://ww4.sinaimg.cn/large/61c921e5ly1gdgb64i8jnj20xk0u0gvy.jpg,http://ww4.sinaimg.cn/large/61c921e5ly1gdgb64icgxj20xo09cdhg.jpg,http://ww4.sinaimg.cn/large/61c921e5ly1gdgb64kyxrj20xo0om0xq.jpg,http://ww4.sinaimg.cn/large/61c921e5ly1gdgb64jr3hj20xo0egdj9.jpg,http://ww4.sinaimg.cn/large/61c921e5ly1gdgb64j5szj20xm0lg451.jpg,http://ww4.sinaimg.cn/large/61c921e5ly1gdgb64j8yrj20xm0fu42g.jpg,http://ww4.sinaimg.cn/large/61c921e5ly1gdgb64rw56j20xo0d2mzy.jpg,http://ww3.sinaimg.cn/large/61c921e5ly1gdgb64lb8jj20xo0q047u.jpg",无,无,2020-04-03 09:12,微博 weibo.com,15918,1235,1496
IBx4Btz6d,不会。年轻时候的我，会很崇拜现在的我......可能有些事情会替我着急，甚至嗔怪^_^，但沉迷、崇拜、死挺、铁托儿、敬爱...是毫无疑问的。  原图 ,http://wx1.sinaimg.cn/large/61c921e5ly1gdfzlqlza6j215n0u0k2p.jpg,无,无,2020-04-03 02:33,微博 weibo.com,4941,248,428
IBpAi4bwN,下楼走了一圈儿，下巴有点凉  ,无,无,无,2020-04-02 07:29,微博 weibo.com,22773,429,2068
IBpus6Ays,刘润：直播是很多人的梦想，但只是老罗通往梦想的盘缠  ,无,无,无,2020-04-02 07:15,微博 weibo.com,2840,378,306
IBl2O2B8P,记得不要迟到，准时开始。  ,无,无,无,2020-04-01 19:56,坚果手机 R1,12170,527,1413
IBjOl6Go1,臭流氓，已安排举报，大家也帮忙举报一下，多谢。  原图 ,http://wx2.sinaimg.cn/large/61c921e5ly1gded2l5smzj20u01ukwyz.jpg,无,无,2020-04-01 16:47,坚果手机 R1,5472,164,501
IBhcY5AJV,今晚 8 点，直播室见。#罗永浩直播带货# 罗永浩的微博视频  ,无,"http://f.video.weibocdn.com/1iq2mWgklx07C9lRxxYY010412002vgZ0E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1586165336&ssig=zhxi1c7D62&KID=unistore,video",无,2020-04-01 10:10,微博 weibo.com,2786,2363,501
IBh8Uhe52,#罗永浩直播带货# 今晚见。  原图 ,http://wx4.sinaimg.cn/large/61c921e5ly1gde0yn4va5j20u01hc0za.jpg,无,无,2020-04-01 10:00,微博 weibo.com,1256,185,213
IBh49oIpW,刚才好像有震感？我在六楼感觉到明显晃动，三四下。  ,无,无,无,2020-04-01 09:48,微博 weibo.com,3161,68,393
IBdcEm9DU,嗯，这也解释了为什么很多500强企业来找我们，根本不要求销售量，只要求我帮忙介绍他们的优质新品就可以支付品宣费用。所以归根结底，无论是目标人群、核心品类、还是商业模式，我们都跟那些所谓的网红电商直播差异化明显。  原图 ,http://wx2.sinaimg.cn/large/61c921e5ly1gddjui49asj20u01jftu6.jpg,无,无,2020-03-31 23:58,坚果手机 R1,4368,412,521
IBboFrHO9,分享图片  原图 ,http://wx4.sinaimg.cn/large/61c921e5ly1gddbxpg1m5j20u01hctcx.jpg,无,无,2020-03-31 19:22,坚果手机 R1,1059,86,158
IB7MteLLv,“是什么让你在四十几度的温度里这么努力地工作？是爱吗？是责任吗？”#罗永浩直播带货# 罗永浩的微博视频  ,无,"http://f.video.weibocdn.com/vcRU23bmlx07C7L3KK48010412004n770E010.mp4?label=mp4_hd&template=480x852.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1586165346&ssig=vSRsddMoCh&KID=unistore,video",无,2020-03-31 10:10,微博 weibo.com,10293,1126,808
IB7IppuBe,距离 #罗永浩直播带货# 首秀，还有 1 天。  原图 ,http://wx2.sinaimg.cn/large/61c921e5ly1gdcvgqgns2j20u01hcgup.jpg,无,无,2020-03-31 10:00,微博 weibo.com,2124,154,271
IB2t072Hz,#挑战玲爷# @Mr玲爷 你能比我更会“吹牛”么？如果你挑战成功，4 月 1 日晚 8 点的直播我就把胡子刮了。#罗永浩直播带货#  罗永浩的微博视频  ,无,"http://f.video.weibocdn.com/LFklyLa8lx07C6SiBLos010412008gLz0E010.mp4?label=mp4_hd&template=480x852.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1586165347&ssig=leWyRgUKav&KID=unistore,video",无,2020-03-30 20:38,财经 · 视频社区,13062,1305,1337
IAZ3zxpqP,1.不是，是直接发的红包。2.丢雷楼牟，已拉黑。  原图 ,http://wx3.sinaimg.cn/large/61c921e5ly1gdbtfr754ej20u006mt8x.jpg,无,无,2020-03-30 11:57,坚果手机 R1,3754,121,470
IAYmDqoT6,4 月 1 日晚 8 点，海量红包等你来抢。#罗永浩直播带货#  罗永浩的微博视频  ,无,"http://f.video.weibocdn.com/q7ha1lWZlx07C6bgtJAk010412006C760E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1586165348&ssig=e13c4KDZ9l&KID=unistore,video",无,2020-03-30 10:11,微博视频,4560,1106,584
IAYjr8q25,距离 #罗永浩直播带货# 首秀，还有 2 天。  原图 ,http://wx4.sinaimg.cn/large/61c921e5ly1gdbq6aj9nej20u01hcwnh.jpg,无,无,2020-03-30 10:03,微博 weibo.com,1234,120,239
IAOVtc3WD,为粉丝砍价的过程中究竟发生了什么……#罗永浩直播带货# 罗永浩的微博视频  ,无,"http://f.video.weibocdn.com/l5zEbbVWlx07C4zevf1S010412008jLy0E010.mp4?label=mp4_hd&template=480x852.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1586165368&ssig=M6s48IZ4xV&KID=unistore,video",无,2020-03-29 10:10,科技 · 视频社区,25008,6876,2429
IAORq2tJn,距离 #罗永浩直播带货# 首秀，还有 3 天。  原图 ,http://wx4.sinaimg.cn/large/61c921e5ly1gdak4h3fq5j20u01hc47i.jpg,无,无,2020-03-29 10:00,微博 weibo.com,1240,149,224
IAOwTBYU9,Concrete Blonde《Someday?-Concrete Blonde》 Someday?-Concrete Blonde  ,无,无,无,2020-03-29 09:09,微博 weibo.com,591,42,77
IAO9XbHz8,失望？怎么会，我在想各种办法赚钱还债啊，做主播赚的又不是脏钱。我对自己很佩服，不想还好，一想就肃然起敬想求签名那种...当然，有些对我失望的我也理解。我这一路走过来，都是按自己兴趣或责任需求选择行业，从来不会在这些选择上考虑“粉丝”感受...要不然怎么能一红红十七年呢？有些人认为网红主播没有手机公司老板牛x，手机公司老板没有愤青知识分子牛x，这些都是他们主观的感受，跟我没关系，也无关是非。不要难过，我还年轻，充满无限...好吧，也没那么无限啦，反正还有很多很多可能性。但重要的不是我将来能不能又做出让你佩服的事，而是你要有自己的...你懂的。                  原图                             ,http://wx1.sinaimg.cn/large/61c921e5ly1gdag2uaoglj21bi062dgs.jpg,无,无,2020-03-29 08:12,微博 weibo.com,43332,4570,1856
IAFuYDWOI,那天夜里究竟发生了什么……#罗永浩直播带货# 罗永浩的微博视频  ,无,"http://f.video.weibocdn.com/CanR1Ozalx07C2XTLHII010412008sFJ0E010.mp4?label=mp4_hd&template=480x852.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1586165371&ssig=UF94x1tjZT&KID=unistore,video",无,2020-03-28 10:10,日常 · 视频社区,12892,3754,1897
IAFqVcA9W,距离 #罗永浩直播带货# 首秀，还有 4 天。  原图 ,http://wx3.sinaimg.cn/large/61c921e5ly1gd9ehvdbgqj20u01hckjm.jpg,无,无,2020-03-28 10:00,微博 weibo.com,913,99,177
IAyc4DH1R,『直播带货，罗永浩的抖音野望』直播带货，罗永浩的抖音野望  ,无,无,无,2020-03-27 15:34,坚果手机 R1,1146,129,124
IAwaHr831,我将于 4 月 1 日晚 8 点在抖音示范直播带货。如果你也有什么新奇特的好东西，欢迎前往抖音 App 带话题 #罗永浩请卖它# 推荐给我，说不定你推荐的商品就会在这次直播中出现。  罗永浩的微博视频  ,无,"http://f.video.weibocdn.com/DfvzqUuklx07C1px0YsM010412002Kuw0E010.mp4?label=mp4_hd&template=480x852.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1586165376&ssig=dRBQeS5BW6&KID=unistore,video",无,2020-03-27 10:25,微博视频,3444,595,642
