微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IAygi7PZu,"小米10, 2月13日发布，是国内市场发布的第一款旗舰手机。截止目前，市场上发布了十多款旗舰手机，大家应该有共同的结论：小米10 真香！感谢大家对小米10的认可：小米10，在立体声、1亿像素8K电影相机、90Hz刷新率的双曲面专业屏幕、旗舰性能（骁龙865 + LPDDR5）、大电池、无线快充和MIUI等，都受到了用户的高度认可。在自动亮度、散热这些细节体验也被用户疯狂点赞！我相信，小米10 作为小米冲击高端旗舰市场的第一款手机，已经做到了我们的目标：放下过去的包袱，重新创业，不惜代价追求极致体验。同时，我们依然坚持了“厚道的定价”。在冲击高端旗舰市场的路上，小米会一往无前！小米未来的高端旗舰机会更强！#小米10#                  原图                             ",http://wx4.sinaimg.cn/large/68418ffbly1gd8gzyjor8j20u0140grd.jpg,无,无,2020-03-27 15:44,小米10 Pro,19717,1236,5219
IC17wfVYs,今天是小米十周岁生日。过去十年无数记忆留在我心里，仿佛就在昨天。那是2012年，一位米粉拍了这样一组照片，来祝贺小米两周年生日，非常用心！这十年我们收到米粉很多份礼物，诚挚感谢大家的深情厚意！无以回报，唯有继续做“感动人心、价格厚道”的好产品。  原图 ,http://wx3.sinaimg.cn/large/68418ffbly1gdi0calgk0j20u017chdt.jpg,无,无,2020-04-06 07:02,小米10 Pro,13660,1104,2288
IBXyRfBzr,坚持发微博，这个习惯还是挺好的。我翻了翻过去十年的微博，满满的回忆。附上过去九年小米生日当天我发的微博。#小米十周年#  [组图共9张] 原图 ,"http://ww2.sinaimg.cn/large/68418ffbly1gdi0ghhnl1j20x40lg44f.jpg,http://ww4.sinaimg.cn/large/68418ffbly1gdi0ghah7jj20x80gon2k.jpg,http://ww1.sinaimg.cn/large/68418ffbly1gdi0gh2tynj20xa0eo0vc.jpg,http://ww3.sinaimg.cn/large/68418ffbly1gdi0ggr0ihj20u00wi7oh.jpg,http://ww4.sinaimg.cn/large/68418ffbly1gdi0ggd51qj20x80tinbs.jpg,http://ww4.sinaimg.cn/large/68418ffbly1gdi0gg02msj20u00w9hdc.jpg,http://ww4.sinaimg.cn/large/68418ffbly1gdi0gfdmmzj20x80j2wr1.jpg,http://ww3.sinaimg.cn/large/68418ffbly1gdi0gf0l1bj20xc0joteo.jpg,http://ww1.sinaimg.cn/large/68418ffbly1gdi0geqtjdj20uv0u0at0.jpg",无,无,2020-04-05 21:59,小米10 Pro,12583,510,1815
IBW470hFC,小米这十年，是热血沸腾的十年，留下不少深受米粉喜欢的“金句”。我整理了知名度最高的几句，欢迎大家帮忙补充。#小米十周年# 最喜欢小米哪句“金句”？  ,无,无,无,2020-04-05 18:10,小米10 Pro,80688,918,2819
IBUKIyWxa,“假如回到十年前，你会给自己什么建议？”“一定要莫名其妙的自信，无论遇到多大的困难！手机行业非常惨烈，不过没什么，微笑面对就好。”  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gdginl1z33j20u014074l.jpg,无,无,2020-04-05 14:50,小米10 Pro,12118,454,1985
IBT9Cn9gw,“假如回到十年前，你还会创办小米吗？”“会！创业不是一件轻松的事情，但我喜欢创业的状态，喜欢做点自己觉得伟大的事情！”  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gdgilslwprj20u014074l.jpg,无,无,2020-04-05 10:46,小米10 Pro,20259,993,2273
IBCldfBpS,大家买旗舰机会关心内存是 LPDDR4x 还是 LPDDR5 ?#小米10#  原图 ,http://wx4.sinaimg.cn/large/68418ffbly1gdgl0dvok6j20x20q20wv.jpg,无,无,2020-04-03 15:58,小米10 Pro,6799,81,1649
IBvlqtUOK,一张1亿像素的照片，能装下多少字？这是去年11月拍摄的视频，把整本《新华字典》贴出来，用小米CC9pro的1亿像素相机拍摄，放大后每个字清晰可见。小米手机的秒拍视频   ,无,"http://miaopai.video.weibocdn.com/000oUesUlx07ynaj6PaU01041200nUeN0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151364&ssig=yysM67SLzp&KID=unistore,video",无,2020-04-02 22:09,小米10 Pro,4722,205,688
IBu2QgCxE,夕阳硃红的夕阳晕染了半边天，映照在平静的水面，昏暗的日落景象如画般留在了#小米10# 的镜头下。 （via 永远向着远方独行浪子-）  原图 ,http://wx4.sinaimg.cn/large/68418ffbly1gdf4j1jkfsj20u01400xo.jpg,无,无,2020-04-02 18:50,小米10 Pro,2423,84,394
IBrgJtnoQ,今天是电商平台开门红活动，小米商城、京东、天猫等都上了24期免息政策。请大家帮忙转发。#小米10#  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gdf9zhsji3j20u0140n0q.jpg,无,无,2020-04-02 11:46,小米10 Pro,4585,585,1539
