Address,Price,livingArea,bedrooms,bathroom
['1447 Akridge St NW'],['1800'],"['1360', '1360', '\\""1', 'null', '975', '945', '1650', '1450', '1638', '1519', 'null']","['2', '2', '2', 'null', '3', '2', '3', '3', 'null', '3', 'null']","['2', '2', '2', 'null', '2', '1', '2', 'null', '2', '2', 'null']"
['1543 Hardin Ave'],['750'],"['null', 'null', 'null', 'null', 'null', '1470', '1821', '1597', '1080', '5400', '1190', '1305']","['1', '1', '1', '2', '1', '1', '3', '4', '3', '2', '6', '3', '3']","['1', '1', '1', '1', '1', '1', '2.5', '3', '2.5', '1', '5.5', '2.5', '2']"
['939 Piedmont Ave NE'],['2100'],"['1050', '1050', '\\""1', '1100', '1100', 'null', 'null', '804', '1234', '963', 'null', '800', '950', '5500', '1100', '2500', '1900', '964', '958']","['2', '2', '2', '2', '2', '1', '2', '1', '2', '2', '1', '1', '2', '8', '2', '3', '3', '2', '2']","['1', '1', '1', '1', '1', '1', '2', '1', '2', '1.5', '1', '1', '1', '6', '1', '3', '2', '1.5', '2']"
['228 Powell St SE'],['1695'],"['null', 'null', '900', '879', '640', '800', '708', '718', '713', '782', '3576', '1484', '1504', '1560', '650', '2363', '2200', '1850']","['1', '1', '1', '2', '2', '1', '1', '1', '1', '1', '1', '1', '0', '2', '2', '1', '4', '3', '1']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1.5', 'null', '2', '2', '1', '2', '3', '1']"
['1849 Broad River Rd'],['1595'],"['1530', '1530', '\\""1', '1530', '1530', '1530', '1530', '1530', '1530', '1530', '1530']","['3', '3', '3', '3', '3', '3', '3', '3', '3', '3', '3']","['2.5', '2.5', '3', '2.5', '2.5', '2.5', '2.5', '2.5', '2.5', '2.5', '2.5']"
['1052 Dickson Pl NE'],['3400'],"['null', 'null', '1190', '1190', '1152', '1152', '1152', '1152', '1152', '1276', 'null', '1800', 'null', 'null', '1300', 'null', 'null', 'null']","['3', '3', '3', '3', '3', '2', '2', '2', '2', '2', '2', '2', '2', 'null', 'null', '2', 'null', '0', '2']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '1', 'null', 'null', 'null', 'null', 'null', '2']"
['2175 Lenox Rd NE'],['1500'],"['800', '800', '\\""800 sqft\\""', '900', '763', '800', '800', '1111', '736', '1111', '1251', 'null', 'null', '1350', 'null', '820', '2700', '1100', '1100']","['2', '2', '2', '2', '1', '2', '2', '2', '1', '2', '2', 'null', 'null', '2', 'null', '2', '3', '2', '2']","['1', '1', '1', '1', '1', '1', '1', '2', '1', '2', '2', 'null', 'null', '2', 'null', '1', '2', '1', '1']"
['890 Greenwood Ave NE'],['1050'],"['700', '700', '\\""700 sqft\\""', '600', 'null', '435', '700', '680', '800', '900', '900', '700', '700', '700', '650', '725', '725', '700', '700']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
['271 Glen Iris Dr NE'],['1400'],"['850', '850', '\\""850 sqft\\""', '750', '750', '750', 'null', '721', 'null', '759', '773', '850', '800', '850', 'null', '850', '850', '850', '800']","['2', '2', '2', '2', '2', '2', '2', '1', '2', '1', '1', '2', '2', '2', 'null', '2', '2', '2', '2']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', 'null', '1', '1', '1', '1']"
['35 Ormond St'],['1200'],"['700', '700', '\\""700 sqft\\""', '630', '630', '630', '630', '800', '1000', 'null', '630', '630', '630', '1300', 'null', '1503', 'null']","['1', '1', '1', '1', '1', '1', '1', '2', '3', 'null', '1', '1', '1', '3', '3', '4', 'null']","['1', '1', '1', '1', '1', '1', '1', '1', '1', 'null', '1', '1', '1', '2', '2', '2', 'null']"
['3150 Woodwalk Dr SE'],[],"['1288', '1288', 'null', '1209', '1209', '1593', 'null', '1209', '1593', '2708', '2784', '1593', '3438', '1209', '1209', '1593', '1593']","['2', '2', '3', '2', '2', '3', '3', '2', '3', '3', '3', '3', '4', '2', '2', '3', '3']","['2', '2', '3.5', '2', '2', '2', '2', '2', '2', '3.5', '4', '2', '3.5', '2', '2', '2', '2']"
['291 Oxford Pl NE'],['1650'],"['1000', '1000', '\\""1', '875', '800', '600', '1008', '864', '940', '963', '1100', '1801', '4186', '900']","['2', '2', '2', '2', '1', '1', '2', '2', '2', '2', '2', 'null', '4', '2']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', 'null', '3', '1']"
['Chadsford Rd SE'],['1150'],"['1292', '1292', '\\""1', '1160', '1340', '1340', '1340', '1340', '1200', '1340', '1135', 'null', '1622', '1320', '1320', '1426', '1622', '1292', '1295']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', 'null', '2', '2', '2', '2', '2', '2', '2']","['2', '2', '2', '2', '2', '2', '2', '2', '2', '2', '2', 'null', '3', '2', '2', '2.5', '2.5', '2', '2']"
['123 Saine Rd'],['1050'],"['null', 'null', '2044', '2036', '1772', '2036', '1920', '2036', '1997', '2036']","['2', '2', '2', '3', '3', '3', '3', '3', '3', '4', '3']","['1.5', '1.5', '2', '3', '3', '3', '3', '3', '3', '3', '3']"
['212 Berean Ave Se'],['1750'],"['879', '879', '\\""879 sqft\\""', 'null', '900', '1050', '800', '801', '709', '708', '709', '879', '879', '879', '879', '879', '879', '879', '879']","['2', '2', '2', '1', '2', '2', '1', '1', '1', '1', '1', '2', '2', '2', '2', '2', '2', '2', '2']","['1', '1', '1', '1', '1', '1.5', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
['865 Moreland Ave SE'],['1850'],"['1200', '1200', '\\""1', '1881', '1425', '1596', '1804', '1653', '2266', '1050', '1984']","['2', '2', '2', '3', '2', '3', '3', '3', '3', '2', '3']","['2', '2', '2', '3', '1', '1', '2', '2', '3', '1', '2']"
['3321 Myrtle St'],['895'],"['1075', '1075', '\\""1', '1592', '650', '1550', '1550', '1075', '1075', '2150', '928', '2034', '1708', '1251', '1843']","['2', '2', '2', '2', '1', '2', '2', '1', '2', '3', '2', '6', '2', '3', '2']","['2', '2', '2', '1', '1', '1', '1', '1', '2', '2', '1', '2', '1', '2', '3']"
['Monroe Dr NE'],['2500'],"['1250', '1250', '\\""1', '1850', '1450', '1050', '1200', '950', '1500', '800', '950', '2900', '1051', '2872', 'null', '2288', '3998', '2964', '2710']","['2', '2', '2', '2', '2', '2', '2', '2', '1', '2', '2', '4', '2', '4', '1', '4', '5', '4', '5']","['1', '1', '1', '2', '2', '2', '1', '2', '1', '1', '2', '4', '2', '3', '1', '1.5', '4.5', '3', '1.5']"
['850 Fulton Ter SE'],['1925'],"['2104', '2104', '\\""2', '1500', '1171', '1301', '1301', '1301', '1301', '1301', '1150', '598', '842', '798', 'null', '884', '1068', '728', '1929']","['2', '2', '2', '1', '2', '2', '2', '2', '2', '2', '2', '1', '1', '2', 'null', '2', '2', '1', '2']","['1', '1', '1', '1', '2', '2', '2', '2', '2', '2', '2', '1', '1', '1', 'null', '1', '1', '1', '1']"
['88 Lucy St SE'],['1295'],"['650', '650', '\\""650 sqft\\""', '550', 'null', '700', '721', '950', '721', '691', '738', '650', '1993', '960', '1360', '1350', '1100', '2132', 'null']","['1', '1', '1', '1', '2', '2', '1', '2', '1', '1', '1', '1', '4', '3', '3', '3', '3', '4', '2']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '2.5', '2', '2', '2', '2', '2.5', '1']"
['Melrose Ave'],['2200'],"['800', '800', '\\""800 sqft\\""', '800', '3164', '3345', '1900', '1256', '1269', '1132', '1070', '1716']","['2', '2', '2', '2', '1', '4', '3', '2', '2', '4', '2', '3']","['1', '1', '1', '1', '1', '4', '3', '1', '1', '4', '1', '3']"
['243 Iswald St SE'],['1800'],"['1050', '1050', '\\""1', '879', '900', 'null', '1125', '1234', '800', '1076', '1031', '2126', '1280', '2030', 'null', '1638', '1929', '872', '1277']","['2', '2', '2', '2', '2', '1', '2', '2', '1', '2', '2', '3', '3', '4', '1', '2', '4', '1', '1']","['1.5', '1.5', '2', '1', '1', '1', '2', '2', '1', '2', '2', '4', '1', '2.5', '1', '1', '4', '1', '1']"
['1001 Blue Ridge Ave NE'],['1950'],"['850', '850', '\\""850 sqft\\""', '850', '640', '750', '900', '725', '750', 'null', '900', '3348', '1494', '1552', '1694', '3462', '1839', '1632', '2260']","['1', '1', '1', '2', '1', '1', '1', '1', '1', '1', '1', '5', '3', '3', '2', '4', '4', '2', '6']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '4', '1', '1', '1', '4', '2', '2', '3']"
['455 Atlanta Ave SE'],['1600'],"['870', '870', '\\""870 sqft\\""', '870', '1000', '845', '845', '772', '772', '780', '772', '870', '870', '2481', '1824', '2880', '1740', '870', '1128']","['2', '2', '2', '3', '3', '1', '1', '1', '1', '1', '1', '2', '2', '3', '3', '4', '6', '3', '2']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '3', '3', '4', '3', '1', '1']"
['601 Hamilton E Holmes Dr NW'],['815'],"['1928', '1928', '\\""1', 'null', '700', 'null', 'null', '1928', 'null', '592', '2368', 'null']","['1', '1', '1', '3', '2', '3', '3', '1', '1', '1', '4', 'null']","['1', '1', '1', '2', '1', '2', '1', '1', '1', '1', '2', 'null']"
['422 9th St NE'],['1550'],"['850', '850', '\\""850 sqft\\""', '900', '1000', '800', '800', '800', '832', '873', '689', 'null', '1200', '1850', '1850', '1491', '2664', '4000', '1800']","['1', '1', '1', '1', '2', '1', '1', '2', '1', '1', '1', 'null', '2', '3', '3', '2', '3', '9', '2']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', 'null', '1', '2', '2', '1', '3', '8', '2']"
['215 Piedmont Ave NE'],['2400'],"['1075', '1075', '\\""1', '1075', '970', '1191', '1091', '576', '970', '910', '734', '931', '850', '931', '1256', '931', '1075', '931', '700']","['1', '1', '1', '1', '2', '2', '2', '1', '2', '1', '1', '1', '1', '1', '2', '1', '1', '1', '1']","['1', '1', '1', '1', '2', '2', '2', '1', '2', '2', '1', '1', '1', '1', '2', '1', '1', '1', '1']"
['559 Pryor St SW'],['1700'],"['1250', '1250', '\\""1', '1250', '1250', '4089', '1606', '1250', '1606', '1606', '1250']","['2', '2', '2', '2', '2', '6', '3', '2', '3', '3', '1']","['2', '2', '2', '2', '1', '6', '2.5', '2.5', '2.5', '2.5', '2']"
['Lynfield Ct SW'],['1050'],"['1000', '1000', '\\""1', '1824', 'null', '2326', '2484', '1624', '2504', '1856', '1804']","['1', '1', '1', '4', 'null', '4', '4', '5', '1', '4', '3']","['1', '1', '1', '4', 'null', '2.5', '3.5', '3', '1', '2.5', '2']"
['300 Peachtree St NE'],['2000'],"['750', '750', '\\""750 sqft\\""', '677', '677', '1127', '750', '1075', '823', '1100', '1044', '387', '628', 'null', '625', '677', '625', '625', '700']","['2', '2', '2', '1', '1', '2', '1', '2', '1', '2', '2', '1', '1', 'null', '1', '1', '1', '1', '1']","['1', '1', '1', '1', '1', '2', '1', '2', '1', '2', '2', '1', '1', 'null', '1', '1', '1', '1', '1']"
['141 Marble Mill Rd NW'],['1650'],"['1400', '1400', '\\""1', '1040', '1308', '1848', '1231', '11251', '1120', '1400', 'null', '1144']","['2', '2', '2', '2', '2', '3', '2', '2', '1', '2', 'null', '3']","['2', '2', '2', 'null', '2', '1', '1', '1', '1', '2', 'null', '1']"
