医院名称,等级,特色,电话,地址,简介,科室列表
首都医科大学附属北京安贞医院,三级甲等,心血管,"010-64412431(总机),010-114(预约挂号),010-64456260(挂号室),010-64456637(门诊部咨询)",北京市朝阳区安贞路2号,"安贞医院成立于1984年，北京市心肺血管疾病研究所成立于1981年，二者为一个医疗科研联合体，集医疗、教学、科研、预防、国际交流五位一体，是以治疗心肺血管疾病为重点的大型三级甲等综合性医院。　　　　北京安贞医院占地面积7.65万平方米，医疗用房20.55万平方米。固定资产11亿多元。安贞医院医疗设备达国际先进水平。拥有最新型的核磁共振、高档螺旋CT、ECT、双向数字减影心血管造影系统、单向数字减影心血管诊断系统、同位素伽玛扫描仪、惠普彩色超声心动图仪等100万元以上设备近百台。　　　　安贞医院1987年成为首都医科大学临床教学医院，1997年为首都医科大学附属医院，1999年为首都医科大学第六临床医学院。1994年被WHO & NICEF评为国际爱婴医院，是北京2008年奥运会定点医院，连续多年被评为首都文明单位。　　　　安贞医院学科齐全，专业特色突出，人才济济，技术力量雄厚。现有职工近4000人，其中高级专业技术人员500余人。临床、医技科室43个，床位1,500余张。新投入使用的具有现代化设施和人文理念的心胸血管外科大楼，具有百万级净化层流手术室30间，术后监护病床83张，新建的门诊综合楼5.8万平方米，为患者提供的人性化医疗服务。　　　　安贞医院坚持院有重点，科有特色，人有专长的方针，始终讲求人才群体效应和团队精神，为患者提供更优质的服务。作为全国心肺血管专业人才培养基地，人才实力强劲并形成梯队。不仅有国内外著名的医学专家，还有一批国外学成归来的中青年学科带头人及一支医学科研队伍。心脏外科、心脏内科、小儿心脏科、血管科、胸外科、呼吸内科是安贞医院的重点特色科室。　　安贞医院心脏外科由我国心胸外科界泰斗吴英恺院士创建于1984年，经过二十年的发展，已经成为我国最大的心脏外科中心之一。心脏外科是一支实力强劲的专业队伍，在国内外享有很高的声誉。现任学科带头人均为有20年专业经历的国外学成归国知名专家。该科拥有床位260张。对各种复杂先天性心脏病、瓣膜病、冠心病、多种心脏肿瘤及大血管病等进行手术治疗。尤其是微创心脏外科手术、全动脉化冠状动脉搭桥及动静脉序贯吻合冠状动脉搭桥术、心内直视射频消融治疗房颤、瓣膜成形修复术，巨大心脏瓣膜置换术、急性心梗室间隔穿孔修补术、ROSS术等均已达到国内领先甚至国际先进水平。开展了心肺联合移植，心脏移植已成为常规手术。年完成心脏手术近5000例，冠状动脉搭桥术近2100例，手术成功率98％，名列全国综合医院第一。上好评的医生有：刘迎龙、孙立忠、黄方炯、来永强、孟旭、顾承雄、毛斌等。　　心脏内科技术力量雄厚。目前拥有正、副主任医师94名，硕士、博士导师11名。该科对各种疑难、危重心血管疾病的临床研究与治疗水平达到了国际先进、国内领先水平。开展对各种心血管病的检查与治疗。尤其是经皮冠状动脉和先心病的介入治疗、心律失常的射频消融术、经皮二尖瓣球囊成形术、永久人工心脏起博器安装。冠心病的检查与介入治疗的病例数量及成功率居国内综合医院第一。心脏内科年完成冠脉造影12000余例，其中PTCA术5500余例，开展对急性心梗早期急诊介入干预，使急性心梗的死亡率明显下降。心脏内科的周玉杰、马长生、吕树铮、赵全明、姜腾勇、李志忠等在上深受患者好评。　　小儿心脏中心（北京市儿童心血管病中心）是小儿心血管病内、外科医疗管理一体化的专科模式。该科收治各种心脏病患儿。尤其对复杂、疑难、重症先心病的诊疗水平达到国内先进水平。较早开展儿童、婴幼儿肺动脉闭锁、完全型肺静脉畸形引流、心内膜垫缺损、单心室等复杂先天性心脏病外科手术，近年还开展了新生儿大动脉转位手术。开展多种先心病介入性治疗，心律失常射频消融术，效果良好。对小儿心内膜弹力纤维增生症、心肌炎、心肌病、风湿热、川崎病等的诊疗也是该科的强项。科里顾虹、刘迎龙的口碑不错。一位患者这样描述顾医生“我非常感谢顾主任可以非常耐心的给我看病.没有大医院医生的高傲.非常的和蔼.可亲.很认识.负责.我非常喜欢顾主任.也非常感谢.！”　　血管科是我国成立最早、床位最多、以治疗周围血管病为主的专业科室。完成各类手术及介入治疗8000例以上，治愈率国内领先。收治外周动、静脉各种疾病，如：（胸）腹主动脉瘤、颈动脉（体）瘤及复杂难治的周围动脉瘤、大动脉炎，特别是重症头臂型大动脉炎；布-加氏综合症；肾血管性高血压；主髂及肢体动脉闭塞导致的各种急慢性缺血性疾病等。　　胸外科技术力量雄厚，已实施胸部大手术万例，具有很高的胸部疾病诊治水平。肺移植技术国内领先，创目前亚洲术后存活时间最长纪录。　　呼吸内科诊疗设备先进，床位40张，下设呼吸重症监护室（RICU）、肺功能血气室、气管镜检查室、睡眠障碍诊疗室。设专科、哮喘、鼾症特色门诊。对急性大面积肺栓塞、急慢性呼吸衰竭、重型哮喘的抢救成功率居国内领先水平。　　北京市心肺血管疾病医疗抢救中心、北京市儿童心血管病中心、中美冠心病诊疗培训中心、雅敦内镜培训交流中心、飞利浦彩色超声培训中心均设在院内，为全国提供医疗、教学、科研、预防全方位高水平的服务，是全国心肺血管疾病的诊疗技术指导与培训中心。　　医院地址：北京市朝阳区安贞路2号。　邮编:100029　　交通指南：可乘18、104、108、117、124、300、302、328、358、379、387、407、803、825、849、858路等公共电、汽车在安贞医院、安贞里 、安贞西里站下车。　　电话： 010-64412431","1.心脏内科中心
2.呼吸与危重症医学科
3.神经内科
4.内分泌科
5.消化内科・普内科
6.肾内科
7.风湿免疫科
8.血液科
9.感染科
10.急诊危重症中心
11.高血压科
12.干部保健科
13.心脏外科中心
14.普外科
15.血管外科
16.泌尿外科
17.胸外科
18.骨科
19.肛肠科
20.神经外科
21.小儿心外科
22.小儿心内科
23.妇产科
24.胎儿心脏病母胎医学会诊中心
25.儿科
26.小儿心脏中心
27.耳鼻咽喉头颈外科
28.疼痛科
29.介入诊疗科
30.皮肤性病科
31.口腔科
32.精神心理科
33.中医理疗科
34.超声诊断科
35.全科
36.眼科
37.整形科及激光医学科
38.麻醉中心
39.病理科
40.医学影像科
41.核医学科
42.综合外科监护病房
43.体外循环科
44.心电生理科
45.临床营养科
46.体检科
47.放射科
"
中国人民解放军第306医院,三级甲等,无,010-66356729(总机),北京市朝阳区德外安翔北路9号,306医院座落于北京市朝阳区亚奥商圈，与中关村毗邻，距天安门直线距离10公里，占地面积10万平方米的中国人民解放军第三0六医院是一所技术先进、设备精良，集医疗、教学、科研、预防保健为一体的综合性现代化三级甲等医院。担负着总装所属部队和地方伤病员的医疗保障任务。 　　306医院始建于1971年，前身是国防科工委第514医院，1997年1月经中央军委批准为国防科工委总医院， 1999年3月更名为中国人民解放军第三○六医院。　　解放军第306医院是一所技术人才密集、临床学科齐全、仪器设备先进、整体医疗水平较高的现代化综合性三级甲等医院，展开床位1008张，编设44个科室；医院环境优美、病房整洁舒适，是北京市首批“基本医疗保险定点医院”、国家航天发射卫勤保障的定点医院、北京急救中心(120)北区分中心。  医院拥有一批技术雄厚的医学专科中心：全军脊柱外科中心、全军口腔疾病诊治中心、全军糖尿病诊治中心、全军信息与技术支持基地和总装心血管中心、普通外科中心、特种病诊治中心、医学影像中心，形成了以全军专科中心为重点的优势学科群；拥有一大批国内外、军内外有较高知名度和影响力的医学专家。医院配备有3.0T核磁、双源64排螺旋CT、彩超、数字化电子胃肠镜、全自动生化分析仪、陀螺刀、高压氧舱等医疗设备850台件，有效地提高了对各类疾病的诊断治疗水平。　　306医院全方位面向社会开放，开设了无假曰门诊，无假日体检，节假日专家门诊，黄昏门诊及特需门诊。体检中心设有多种优惠套餐项目。医院注重医德医风建设，坚持以“病人为中心”，近年来多次被评为全军为部队服务先进单位，因医疗保险管理工作成绩突出，连续多年受到北京市医保管理中心的表彰。本院愿以精湛的医术、优质的服务、合理的价格、优美的环境和科学的管理服务于广大军民。现拥有功能齐全的病房楼3栋，日门诊量1800人次，年收容病人量1万人次，平均床位使用率90％。是解放军第四军医大学、北京大学医学部临床教学医院，第三军医大学、首都医科大学、军事医学科学院、航天医学工程研究所等研究生联合培养点。是北京市首批“基本医疗保险定点医院”。 　　306医院拥有一批技术力量雄厚的专科中心。全军中心有：全军脊柱外科中心、全军口腔疾病诊治中心、全军信息与技术支持基地。总装中心有：心血管病中心、糖尿病中心、腹部外科中心、特种医学中心。拥有全军一流的信息化管理网络—军卫一号工程网和远程医疗会诊系统，实现了医疗质量、卫生经济、医疗物资的网络化管理。形成了以脊柱外科为龙头的重点、优势学科群，骨科、口腔科、内分泌科、心血管科、腹部外科、医学影像等学科在国内、军内处于领先水平。 　　306医院承担国家863攀登计划、973计划、国家自然科学基金、北京市医学科技重大课题、全军 “十五”课题、总装备部医药卫生重点课题等重大科研课题70余项；获得军队科研成果一等奖2项，二等奖9项，三等奖71项。在SCI和统计源收录期刊等国内外学术期刊发表学术论文800余篇。科研支撑条件良好，中心实验室使用面积600平方米，有PCR仪、DNA测序仪、飞行蛋白质普仪等实验设备，实验设备总值1000余万元。并拥有藏书齐全的现代化医学图书馆和电子阅览室。       306医院投资3亿建设了总面积为4.9万平方米的医疗综合大楼。“十一五”期间，将建成“人才结构合理化、学科发展特色化、设备设施现代化、医院管理正规化、院务保障社会化、营院环境园林化”的国内一流综合性医院。,"1.神经内科
2.内分泌科
3.心血管内科
4.消化内科
5.血液肿瘤科
6.呼吸内科
7.肾内科
8.普通内科
9.老年病科（五诊室）
10.高压氧科
11.急诊部
12.骨科
13.普通外科
14.泌尿外科
15.神经外科
16.心胸血管外科
17.整形烧伤科
18.儿科
19.妇产科
20.皮肤科
21.口腔科
22.眼科
23.耳鼻咽喉科
24.生殖医学中心
25.中医科
26.康复医学科
27.特诊科
28.特种医学科
29.医学影像中心
30.心理门诊
31.军休、地方干部病房
32.检验科
33.病理实验科
34.麻醉科
35.放疗科
36.整形美容中心
37.重症监护室
38.体检中心
39.药学部
"
首都儿科研究所附属儿童医院,三级甲等,儿童,"010-85695555(总机),010-114(预约挂号),010-85613495(挂号咨询)",总院:北京市朝阳区雅宝路2号,首都儿科研究所附属儿童医院是三级甲等医院、爱婴医院、北京大学教学医院、规范化服务达标医院、首都平安示范医院。同时也是北京大学医学部博士、硕士学位研究生培养点，卫生部、北京市住院医师/专科医师培训基地。　　　　2002年、2005年医院建设了新门诊楼和病房楼，就诊环境和医疗设施得到极大改善。医院编制床位400张，设有21个临床科室、26个专业、6个临床研究室。住院部设有7个病区和层流病房及百、千级手术室。 　　研究所和附属儿童医院地处北京市朝阳区雅宝路2号，占地面积28815平方米，建筑面积10万余平方米。全所院现有员工1200余人，其中专业技术人员占84％，具有高级专业技术职称的有120余人。所内有国家级和市级突出贡献专家7人，享受政府特殊津贴的专家22人。 　　研究所是国务院学位委员会批准的儿科硕士、儿科博士学位授权单位，现有博士生、硕士生导师40余名。目前，已培养博士、硕士200余人，有10名青年科技骨干入选北京市科技新星。科研、临床人员每年在各种核心期刊、学术会议、专业刊物发表论文百余篇，其中SCI文章 30余篇。现有百余名留学人员学成回国。 　　医院承担着北京市和外省市患儿的医疗救治工作，年门急诊量和出院患者逐年增加，2010年门急诊量达182万人次，日最高门急诊量为5869人次，年出院病人1.4万余人次，年手术7248例。 　　急诊、重症医学专业的设置符合现代急救一体化模式，包括NICU、PICU、急诊室、血气分析室、院前转运。目前机械通气治疗已发展到500余例/年，开展CPAP治疗新生儿肺透明膜病、巨细胞病毒抗原检测、新生儿外周静脉双通路同步换血术取得很好效果。先后承担国家级、省部级课题20余项。急救专业2010年被评为卫生部儿科重症重点学科。 　　呼吸专业是北京市儿童呼吸道疾病诊断治疗中心，是北京市重点扶植的学科。拥有纤维支气管镜室、呼吸睡眠监测室、肺功能室、反复呼吸道感染（RRI）及免疫治疗门诊。承担多项国家级、省部级及国际合作类重点科研项目，在儿童呼吸系统疾病的诊断治疗取得了多项突破，为我国哮喘儿童的合理治疗及长期管理提供了科学依据。儿童哮喘防治综合治疗方案被列入卫生部“十年百项”科技成果推广项目。　　　心血管专业曾组织“九省市小儿病毒性心肌炎发病调查和临床及实验研究”，4次主持并参与制定小儿病毒性心肌炎的诊断标准。目前承担有北京市重点科技攻关项目“儿童高血压长期追踪研究和高血压临床诊断标准”的拟订，为少年儿童高血压易患者的识别与一级预防、心律失常的诊断和治疗奠定了基础。 　　神经专业近10年来承担省、部级课题10余项，获得局级以上奖励5项，发表论文30余篇。拥有脑电图、诱发电位、睡眠结构、肌电图、生物反馈仪、经颅多普勒、经颅磁刺激仪等多项检测设施，与相关科室共同开展了氨基酸/有机酸生化、染色体核型测定，为专业疑难特殊病种的诊治创造条件。 　　血液专业成功开展了自体和异基因干细胞移植，建立了遗传性骨髓衰竭性疾病的诊断雏形，开展噬血细胞综合征临床及诊断研究；开展了MICM分型的诊疗分层评估体系及分层分度治疗，取得明显疗效。 　　儿童风湿免疫专业在国内较早联合开展了生物制剂、自体外周血干细胞移植治疗难治性儿童风湿病，同时创建物理和运动医疗等方案促进患儿康复。　　　肾脏专业开展B超引导下经皮肾检，应用腹膜透析技术治疗急、慢性肾功能衰竭疗效显著，在儿童肾脏病的诊治方面积累了丰富的临床经验，承担多项省、部级课题。 　　儿童内分泌专业开展各种内分泌功能试验和评估，参与承担 “肥胖儿童内皮细胞功能”、“女性特发性中枢性性早熟联合治疗”等多项课题，使临床和科研方面紧密结合。 　　感染消化科先后开展了小儿幽门螺杆菌检测、小儿纤维胃肠镜检查、食道24小时PH监测、小儿肝活检等特殊项目，为儿童消化道疾病的诊治奠定了基础。长期对病毒感染性疾病进行监测，为国家疾病预防控制中心提供了客观而有价值的资料。　 　　小儿外科由普外、泌尿外科、新生儿外科、胸外科、骨科、急诊外科、肿瘤外科组成。普外科是国家“十一五”先天重大畸形科技攻关课题的牵头单位，在治疗胆总管囊肿、胆道闭锁、复杂肛门闭锁、巨结肠、门脉高压、巨大肿瘤切除及小儿肝移植等方面成绩卓著，特别是腹腔镜治疗各种小儿外科疾病方面经验丰富，处于国内领先水平。学科带头人李龙为中国医师协会小儿腔镜外科第一届委员会主任委员，并荣获中国医师协会腔镜外科分会颁发的国际内镜杰出领袖奖。 　　小儿泌尿外科和新生儿外科开展多种先天性复杂畸形的修复诊治，其微创手术取得突出效果。 　　医院注重保健专业特色的发展，设有儿童营养、心理、语言发育专业，并设有儿童生长发育、智力、心理测查诊断室。对儿童在生长发育、营养等方面的疾病开展了有效地预防与筛查，还开展了儿童心理、铅中毒的干预与治疗。 　　耳鼻喉科设有门诊、听力室、内窥镜室及病房。开展小儿常见中耳炎、扁桃体炎、腺样体肥大以及各种咽、耳、鼻、喉、气管、食管等的异物治疗。在小儿睡眠打鼾和呼吸暂停低通气综合征的诊断和治疗中颇具特色，通过鼻内窥镜下低温等离子射频技术进行小儿腺样体、扁桃体及鼻炎等手术，达到了零出血、低复发的效果。　　　眼科经过多年临床探索，形成了一套全面、系统、规范的小儿眼病筛查、诊疗和预防策略。在儿童常见眼病和疑难眼病，尤其在小儿泪道疾病、斜视和弱视诊治、屈光不正矫正及早产儿视网膜病变的筛查、小儿眼睑及眼表疾病的诊治等方面取得显著效果。 　　 　　皮肤科年门诊量15万余人次。开展液氮冷冻、性病激光、皮肤微波治疗技术，皮肤划痕实验，百康过敏原、小儿妇科外阴阴道分泌物的细菌、衣原体、支原体及淋球菌的检测。在小儿湿疹、血管瘤的诊断与治疗中形成专业特色。 　　检验科下设临床检验室、生化室、血清免疫室、细菌室。开展的检验项目有临检、免疫学、微生物、生物化学等132项。2010年，通过国际CNAS实验室ISO15189认可。检验科在卫生部和北京市临检中心的年度室间质评中连续十年成绩优异，获得北京市级“优秀实验室”称号。 　　放射科拥有CR、数字造影、螺旋 CT、核磁共振成像等大型先进设备，年检查1.4万余人次。气灌肠疗法成为儿科急症肠套叠诊断和治疗的特色项目。螺旋CT三维重建技术、尤其是核磁成像的直接三维成像技术以其非侵袭性、安全、适应症广、多平面投影等特点，提高了病变的显示率及诊断的准确率，受到临床和患者欢迎。目前放射科启用PACS系统，实现了全院影像资源共享。 　　药剂科是集药品采购、供应、管理、调剂配发、药品质量、药品咨询服务为一体的综合性科室。下设门诊药房、急诊药房、病房药房、临床药学、药品库房5个组，实现了网络化管理。每日由经验丰富的药师提供专业咨询。定期进行药物不良反应监测、新药普及和抗菌药物合理使用情况分析，为临床用药提供了全面、安全的保障。2011年医院9个专业通过了国家GCP（药物临床试验质量管理规范）认证，获得药物临床试验资格。 　　近年来，医院先后承担了50余项国家级、市级推广和示范继续教育项目，每年组织全国性儿童保健、哮喘防治、临床检验、微创技术等学习班及国际研讨会。 　　医院在西城区月坛南街1号设有专家门诊部，日门诊量900余人次。其中儿童保健、生长发育、儿童矮小、多动症、学习障碍、生物反馈、感觉统合等专科、专病门诊深受广大患儿家长的欢迎。 　　医院制剂80余种。其中“清热散瘟口服液”入选北京市“十病十药”研发项目并获得政府奖励；“双金利咽颗粒”、“肤乐霜”因其疗效显著，首批入选“北京中医药传统小膏药重新工程”名录。,"1.皮肤科
2.普外科
3.呼吸内科
4.小儿泌尿外科
5.心脏外科
6.内分泌科
7.骨科
8.新生儿内科
9.神经内科
10.胸外科
11.保健科
12.血液科
13.风湿免疫科
14.耳鼻喉科
15.肾内科
16.心血管内科
17.消化科
18.感染科
19.内科
20.神经外科
21.眼科
22.中医科
23.重症医学科
24.口腔科
25.放射科
26.麻醉科
27.超声科
28.病毒研究室
"
中国医科大学航空总医院,无,无,010-59520401(总服务台),北京市朝阳区安外北苑3号,,"1.心血管内科
2.神经内科
3.消化内科
4.肾病内科
5.内分泌科
6.呼吸内科
7.普通内科
8.血液内科
9.急诊科
10.感染科
11.感染疾病科
12.神经外科
13.普外科
14.胸心血管外科
15.骨科
16.泌尿外科
17.功能神经外科
18.整形美容科
19.脊柱外科
20.骨关节科
21.血管外科
22.中医正骨科
23.骨关节外科
24.脑脊液病神经外科
25.神经外科七病区
26.妇科
27.儿科
28.产科
29.口腔科
30.皮肤科
31.疼痛医学中心
32.中医科
33.肿瘤内科
34.心身医学科
35.胃食管反流病科
36.眼科
37.医学影像科
38.耳鼻喉科
39.中西医结合科
40.男科
41.麻醉科
42.超声科
43.放射科
44.检验科
45.病理科
46.重症监护室
47.预防保健科
48.放疗科
"
首都医科大学附属北京地坛医院,三级甲等,传染,"010-84322000(总机),010-114(预约挂号),010-84322566(咨询),010-84322252(艾滋病咨询)",北京市朝阳区京顺东街8号,首都医科大学附属医院北京地坛医院 (原名北京第一传染病医院 )始建于 1946年，是北京市卫生局直属三级甲等医院，也是北京大学医学部、北京中医药大学教学医院。国家肝病、艾滋病临床药物验证基地、国家中医药管理局中西医结合传染病临床基地设在这里。医院主要承担除结核病以外的 39种法定传染病的诊治、研究和培训任务。是一家集医疗、教学、科研、预防为一体的公共卫生临床医疗机构。建设现代化、数字化、人文化、花园式，以传染病为特色的三级甲等综合性医院是医院新的追求目标。　　2008年9月医院迁址落户北京市朝阳区北皋。其建筑面积 7.5万平方米，环境优美，设施先进，设有床位 600张。　　医院拥有一支结构合理、适应医学发展需要的老中青相结合的专业人才梯队。现有职工 955人，其中专业技术人员占 92％，高级职称 102人，研究生以上学历 170人，博导、硕导 18人。新世纪“百千万”人才、北京市高层次技术人才、北京市优秀人才、有突出贡献专家及享受政府特殊津贴专家 40余人。　　医院坚持“专科特色综合发展”的办院理念，形成肝病、感染性疾病诊疗、重症医学、中西医结合治疗四个中心的优势学科，加强内科、外科、妇产科、儿科、五官科、急诊科等学科的发展与建设， 2010年医院新开设心血管内科、神经内科、骨科，2011年新设神经外科，基本上形成了布局合理、优势突出、特色鲜明、协调发展的学科体系。　　在科研工作上医院又有新突破，牵头十一五、 863、国家自然基金项目等多项科研课题，先后获得国家科技进步二等奖和全国职工技术创新二等奖、中华医学科技二等奖、北京科技一、二、三等奖等 7个奖项。目前承担科研项目 121项，位列市属三甲医院第一名，其中独立承担项目 71项，在研科研经费超过 7000万元，位列市属医院第二名。五年来发表 SCI论文 21篇、核心杂志发表论文 134篇。 　　2010年经相关部门批准医院成为博士后科研工作站、《中华实验和临床感染病杂志（电子版）》成为核心期刊杂志。每年召开的北京地坛国际感染病会议，提升了医院在国际、国内的学术影响力。　　北京红丝带之家是民政部门注册的服务于艾滋病患者、感染者的社会团体组织。为艾滋病患者、感染者提供关怀、医疗、护理、心理、法律支持等多元化服务，受到国内外各界的关注支持，已成为向世界展示中国艾滋病防治的窗口。　　医院接受过党和国家领导人多次视察、慰问，曾先后荣获全国五一劳动奖状、全国先进基层党组织、全国卫生系统先进集体、全国模范职工之家、全国精神文明建设工作先进单位、全国医院文化建设先进单位，连续五年被评为首都文明单位标兵，在传染病专科全国排名中位列第一。　　医院使命：救死扶伤、守护健康　　医院愿景：做世界品牌的医院 　　医院目标：建设以传染病为特色的三级甲等综合性现代化医院　　核心价值观：保护生命、奉献社会　　医院精神：医诚技精、求实创新　　管理理念：人本、严谨、高效、精细　　经营理念：专科特色、综合发展　　人才理念：搭建至佳平台、促进人才成长　　服务理念：全心全意、至善至精,"1.肝病中心
2.感染性疾病诊疗中心
3.危重症救治中心
4.传染科
5.皮肤性病科
6.肿瘤介入科
7.妇科
8.中西医结合肝病科
9.肿瘤综合科
10.肝胆外科
11.消化内科
12.神经外科
13.神经内科
14.骨科
15.耳鼻喉科
16.儿科
17.泌尿外科
18.眼科
19.急诊科
20.心血管内科
21.内分泌科
22.ICU
23.口腔科
24.麻醉科
25.呼吸科
26.中西医结合中心
27.产科
28.普外科
"
清华大学第一附属医院,无,心血管,"010-64369999(总机),010-65657168(预约挂号)",北京市朝阳区酒仙桥一街坊6号,,"1.心脏内科
2.神经内科
3.消化内科
4.呼吸内科
5.内分泌科
6.肾内科
7.感染性疾病科
8.急诊科
9.心血管内科
10.心脏外科
11.泌尿外科
12.神经外科
13.普通外科
14.骨科
15.胸外科
16.血管外科
17.小儿心内科
18.儿科
19.小儿心外科
20.妇产科
21.临床心理科
22.皮肤性病科
23.耳鼻喉科
24.中医科
25.口腔科
26.眼科
27.超声科
28.血液肿瘤科
29.麻醉科
30.疼痛科
31.核医学科
32.药剂科
33.检验科
34.体检中心
35.职业病科
36.预防保健科
37.病理科
38.医学影像科
39.老年科
40.营养科
41.综合ICU
"
民航总医院,无,无,"010-85762244(总机),010-114(预约挂号)",北京市朝外高井甲1号,民航总医院位于北京市朝阳区东部、朝阳路旁，是一所设备先进、科室齐全、服务优良、集医教研防于一体的三级综合性医院。　　医院占地5万平方米，房屋总面积6万平方米，开放病床500张。职工近1000人，其中高级技术人员75人。设有临床及医技科室35个，2008年门诊量已达到67万人次。在冠状动脉造影、支架植入、急性心肌梗塞溶栓介入治疗、血液透析及血液净化、椎间盘突出激光治疗、高危妊娠诊治、糖尿病诊治、癌症冷冻治疗、腹腔镜、前列腺疾病的治疗等医疗项目上具有先进水平。　　民航总医院 1999年通过北京市三级医院评审，是北京市医疗保险定点医院、规范化服务达标单位和物价信得过单位。目前承担着民航系统干部职工以及朝阳区东部地区企事业单位职工、居民的医疗服务工作和航空疾病的治疗与研究工作，在航空疾病的诊治与护理方面位居行业前列。　　民航总医院是北京大学临床医学院和硕士研究生培养基地，承担着北京大学医学部心血管内科硕士研究生的培养以及临床医学专业留学生、本科生的教学和临床实习工作。　　民航总医院始终坚持以病人为中心的宗旨，努力打造作风过硬、素质精良的医护团队，塑造以人为本、优质高效的服务品牌，以精益求精的态度和无私博爱的胸怀，向一流队伍、一流管理、一流技术、一流服务的现代化综合医院和具有国际水平的中国民用航空医学中心的奋斗目标迈进。,"1.消化内科
2.心血管内科
3.内分泌科
4.呼吸内科
5.神经内科
6.肾病内科
7.老年病内科
8.普通内科
9.高压氧科
10.急诊科
11.骨科
12.泌尿外科
13.乳腺外科
14.肝胆外科
15.普通外科
16.心胸外科
17.神经外科
18.血管外科
19.肛肠外科
20.妇产科
21.儿科
22.耳鼻咽喉头颈外科
23.皮肤科
24.中医科
25.口腔科
26.眼科
27.康复理疗科
28.放射科
29.手术麻醉科
30.前列腺科
31.传染科
32.核医学科
33.药剂科
34.检验科
35.营养科
"
北京大学口腔医院第二门诊部,三级甲等,无,010-82196299(预约咨询电话),北京市朝阳区安立路66号安立花园B5、A2、A5（位于安立路与大屯路...,,"1.口腔综合科
2.口腔外科
3.牙周科
4.儿童口腔科
5.种植科
6.牙体牙髓科
7.修复科
8.正畸科
"
北京美中宜和妇儿医院,无,无,"010-52346666,4001000016(咨询)",亚运村院区:朝阳区安慧北里逸园5号楼;丽都院区:朝阳区芳园西路9号,,"1.妇科
2.产科
3.儿科
4.口腔科
"
首都医科大学北京医学中心耳鼻咽喉医院,无,无,010-59153100(总机),北京市朝阳区东四环南路53号院7号楼,首都医科大学北京医学中心耳鼻咽喉医院，是首都医科大学耳鼻咽喉科学院附属医院，是国家教育部重点学科，国家卫生计生委临床重点专科。医院提供耳鼻咽喉头颈外科、眼科、口腔科、整形美容科等专项医疗服务，依照国际JCI标准设计，医院建筑面积逾12000平方米，床位65张，适应人性化需求的精心别致的内部装修体现了时代风尚。　　首都医科大学北京医学中心耳鼻咽喉医院以具有博士研究生导师资格的临床技术专家为主体，从事专科医疗服务和技术咨询服务。医院拥有国内外一流的护理团队，可以为客户提供多方位、多层次、高质量、高效率、高品位的多元化医疗护理服务。,"1.耳鼻喉科
2.口腔科
3.眼科
"
